Noun,Type,Masculine Singular,Féminine Singular,Masculine Plural,Féminine Plural
étudiant,P,étudiant,étudiante,étudiants,étudiantes
professeur,P,professeur,professeure,professeurs,professeures
médecin,P,médecin,médecin,médecins,médecins
acteur,P,acteur,actrice,acteurs,actrices
chat,P,chat,chatte,chats,chattes
chien,P,chien,chienne,chiens,chiennes
directeur,P,directeur,directrice,directeurs,directrices
voisin,P,voisin,voisine,voisins,voisines
joueur,P,joueur,joueuse,joueurs,joueuses
client,P,client,cliente,clients,clientes
serveur,P,serveur,serveuse,serveurs,serveuses
comédien,P,comédien,comédienne,comédiens,comédiennes
secrétaire,P,secrétaire,secrétaire,secrétaires,secrétaires
patient,P,patient,patiente,patients,patientes
artiste,P,artiste,artiste,artistes,artistes
photographe,P,photographe,photographe,photographes,photographes
boulanger,P,boulanger,boulangère,boulangers,boulangères
policier,P,policier,policière,policiers,policères
pompier,P,pompier,pompière,pompiers,pompières
secouriste,P,secouriste,secouriste,secouristes,secouristes
psychologue,P,psychologue,psychologue,psychologues,psychologues
architecte,P,architecte,architecte,architectes,architectes
jardinier,P,jardinier,jardinière,jardiniers,jardinières
chanteur,P,chanteur,chanteuse,chanteurs,chanteuses
chanteuse,P,chanteuse,chanteuse,chanteuses,chanteuses
danseur,P,danseur,danseuse,danseurs,danseuses
danseuse,P,danseuse,danseuse,danseuses,danseuses
astronaute,P,astronaute,astronaute,astronautes,astronautes
informaticien,P,informaticien,informaticienne,informaticiens,informaticiennes
scientifique,P,scientifique,scientifique,scientifiques,scientifiques
pilote,P,pilote,pilote,pilotes,pilotes
navigateur,P,navigateur,navigatrice,navigateurs,navigatrices
bénévole,P,bénévole,bénévole,bénévoles,bénévoles
chercheur,P,chercheur,chercheuse,chercheurs,chercheuses
vendeur,P,vendeur,vendeuse,vendeurs,vendeuses
cuisinier,P,cuisinier,cuisinière,cuisiniers,cuisinières
écrivain,P,écrivain,écrivaine,écrivains,écrivaines
enseignant,P,enseignant,enseignante,enseignants,enseignantes
avocat,P,avocat,avocate,avocats,avocates
journaliste,P,journaliste,journaliste,journalistes,journalistes
dentiste,P,dentiste,dentiste,dentistes,dentistes
musicien,P,musicien,musicienne,musiciens,musiciennes
peintre,P,peintre,peintre,peintres,peintres
sculpteur,P,sculpteur,sculptrice,sculpteurs,sculptrices
électricien,P,électricien,électricienne,électriciens,électriciennes
plombier,P,plombier,plombière,plombiers,plombières
maçon,P,maçon,maçonne,maçons,maçonnes
ingénieur,P,ingénieur,ingénieure,ingénieurs,ingénieures
pharmacien,P,pharmacien,pharmacienne,pharmaciens,pharmaciennes
gérant,P,gérant,gérante,gérants,gérantes
consultant,P,consultant,consultante,consultants,consultantes
traducteur,P,traducteur,traductrice,traducteurs,traductrices
interprète,P,interprète,interprète,interprètes,interprètes
bibliothécaire,P,bibliothécaire,bibliothécaire,bibliothécaires,bibliothécaires
conseiller,P,conseiller,conseillère,conseillers,conseillères
mécanicien,P,mécanicien,mécanicienne,mécaniciens,mécaniciennes
garagiste,P,garagiste,garagiste,garagistes,garagistes
chauffeur,P,chauffeur,chauffeuse,chauffeurs,chauffeuses
conducteur,P,conducteur,conductrice,conducteurs,conductrices
gardien,P,gardien,gardienne,gardiens,gardiennes
entraineur,P,entraineur,entraineuse,entraineurs,entraineuses
